[1000268201_693b08cb0e.jpg#0]	ピンクのドレスの子供は、入り口で階段のセットを登っています。
[1024138940_f1fefbdce1.jpg#4]	2つの大きなタンタンが砂浜に沿って遊びます。
[102455176_5f8ead62d5.jpg#0]	男はアイスピックとクランプを使って氷を拡大します。
[102455176_5f8ead62d5.jpg#1]	青いジャケットと黒いパンツのアイスクライマーが凍った氷の壁を拡大しています。
[102455176_5f8ead62d5.jpg#2]	凍った滝をスケーリングするアイスクライマー。
[102455176_5f8ead62d5.jpg#3]	青と赤の氷の人が2つのピックで登る。
[102455176_5f8ead62d5.jpg#4]	氷の壁を登る登山者
[1026685415_0431cbf574.jpg#0]	黒い犬は緑のおもちゃを彼の口に持っていて、草を歩いている。
[1026685415_0431cbf574.jpg#1]	草を何か持っている黒い犬。
[1026685415_0431cbf574.jpg#2]	黒い犬は、その口に青いおもちゃを持っています。
[1026685415_0431cbf574.jpg#3]	彼の口の中に青いアイテムがある草の犬。
[1026685415_0431cbf574.jpg#4]	濡れた黒い犬は緑のおもちゃを草の中に持っています。
[1028205764_7e8df9a2ea.jpg#0]	男性と赤ちゃんは水上の黄色のカヤックにいます。
[1028205764_7e8df9a2ea.jpg#1]	男と青い人生のジャケットの小さな男の子が黄色のカヌーを漕ぐ。
[1028205764_7e8df9a2ea.jpg#2]	優しい水域を流れる男女のカヤック。
[1028205764_7e8df9a2ea.jpg#3]	男と若い男の子が黄色のカヤックに乗る。
[1028205764_7e8df9a2ea.jpg#4]	黄色のカヤックの男と子供
[1030985833_b0902ea560.jpg#0]	黒い犬と茶色の犬が赤いおもちゃをキャッチするために飛び跳ねている。
[1030985833_b0902ea560.jpg#1]	黒い犬と茶色の犬は中庭の赤いおもちゃで遊んでいます。
[1030985833_b0902ea560.jpg#2]	茶色と黒色の研究室は外にあり、黒色の研究室はその口におもちゃをつかまえています。
[1030985833_b0902ea560.jpg#3]	黒い犬は、赤と黒のオブジェクトに、茶色の犬が突っ込むようにスナップします。
[1030985833_b0902ea560.jpg#4]	チョコレート・ラボでは、ブラックラボがドライブウェイで捕まえたときに、おもちゃを入手するには遅すぎます。
[103106960_e8a41d64f8.jpg#0]	ゴールキーパーネットの前でひざまずいている棒を持つ少年
[103106960_e8a41d64f8.jpg#1]	ゴールを守っているストリートホッケーをしている赤いジャケットの子供。
[103106960_e8a41d64f8.jpg#2]	ホッケーのスケートリンクでゴールキーパーをしている若い子供。
[103106960_e8a41d64f8.jpg#3]	彼の右手にホッケーのスティックでホッケーの目標の前にひざまずいている若い男性。
[103106960_e8a41d64f8.jpg#4]	赤いジャケットのホッケーゴールキーパーの男の子は、スティックでゴールによって痙攣します。
[103195344_5d2dc613a3.jpg#0]	黒の男は、ガラスの建物の前にある現代の芸術の構造の隣に座っています。
[103195344_5d2dc613a3.jpg#1]	男はオフィスビルの外にある彫刻で新聞に座って読書します。
[103195344_5d2dc613a3.jpg#2]	男は大きな像の近くに座っている。
[103195344_5d2dc613a3.jpg#3]	建物の前で金属の彫刻の前に座っている男。
[103195344_5d2dc613a3.jpg#4]	バックパックを持っている男は、彫刻の読書の前にある建物の中庭に座っています。
[103205630_682ca7285b.jpg#0]	氷の上にテントが設置されています。
[103205630_682ca7285b.jpg#1]	2人の男が、雪で覆われた湖の上に氷の釣り用テントを入れようとしている。
[103205630_682ca7285b.jpg#2]	湖の上の氷の上に青い氷の釣りの小屋を設置している2人の男
[103205630_682ca7285b.jpg#3]	二人の男が氷の上に立って、青い房で覆われたものを探しました。
[103205630_682ca7285b.jpg#4]	雪の上に青いテントの構造の外に立っている二人の人。
[1032122270_ea6f0beedb.jpg#0]	女性は畑の3匹の犬の近くを這う。
[1032122270_ea6f0beedb.jpg#1]	3匹の犬が青空の草原の丘の上で遊んでいます。
[1032122270_ea6f0beedb.jpg#2]	3匹の犬が草の中に立っていて、人はそれらの隣に座っている
[1032122270_ea6f0beedb.jpg#3]	芝生の丘の上に3匹の犬
[1032122270_ea6f0beedb.jpg#4]	人が近くにひざまずいている間に、3頭の犬が草原に立つ。
[1032460886_4a598ed535.jpg#0]	男が超高層ビルの前に立っている
[1032460886_4a598ed535.jpg#1]	超高層ビルの前に男が立っている。
[1032460886_4a598ed535.jpg#2]	非常に高いビルの前に男が立っています。
[1032460886_4a598ed535.jpg#3]	赤いシャツの男の後ろには大きなスカイスクレイパーが立っている。
[1032460886_4a598ed535.jpg#4]	カメラの前を歩いている男と遠くの超高層ビルがあります。
[1034276567_49bb87c51c.jpg#0]	彼が外に座っている間、男の子は大切に噛み付きます。
[1034276567_49bb87c51c.jpg#1]	子供は焼き玉を食べていた。
[1034276567_49bb87c51c.jpg#2]	両手で口に何かを入れている小さな男の子。
[1034276567_49bb87c51c.jpg#3]	少年は彼の食べ物をテーブルの外で食べる。
[1034276567_49bb87c51c.jpg#4]	少年は錫料理でピザを食べている。
[104136873_5b5d41be75.jpg#0]	人々は山腹に座って景色をチェックします。
[104136873_5b5d41be75.jpg#1]	3人が緑の谷を見下ろす丘の上にあります。
[104136873_5b5d41be75.jpg#2]	大きな丘の上に3人が遊んでいます。
[104136873_5b5d41be75.jpg#3]	3人が緑の谷を見渡す。
[104136873_5b5d41be75.jpg#4]	3人は、moutainsの上の棚に座っている。
[1042020065_fb3d3ba5ba.jpg#0]	緑色のシャツを着た男の子が、多くの膨張式ボートを見下ろしています。
[1042020065_fb3d3ba5ba.jpg#1]	緑のシャツの男の子がカヤッカーを見る。
[1042020065_fb3d3ba5ba.jpg#2]	少年は水の中の下にある多くのボートと筏で手すりを見る。
[1042020065_fb3d3ba5ba.jpg#3]	インフレータブルボートの群衆を見下ろす若い少年。
[1042020065_fb3d3ba5ba.jpg#4]	ジャージーを着た少年は水中の多くのボートで棚を見下ろす。
[1042590306_95dea0916c.jpg#0]	他の男が見ている間、男性と女性がカメラのためにポーズをとる。
[1042590306_95dea0916c.jpg#1]	ある男は、別の男が見ている間、女性の手をいくつかの建物の前で彼の口に持っています。
[1042590306_95dea0916c.jpg#2]	画像のためにポーズをとる多人種カップル
[1042590306_95dea0916c.jpg#3]	アジアの男とブロンドの女性は、屋外で手を持って、バックグラウンドで男を持っています。
[1042590306_95dea0916c.jpg#4]	他の男が見ている間、黒いストライプのジャケットの女の子の手を噛む青い服の男
[1045521051_108ebc19be.jpg#0]	小さなテレビを見ながら人がテイクアウトを食べる。
[1045521051_108ebc19be.jpg#1]	人が床に座ってテレビの前で食べる。
[1045521051_108ebc19be.jpg#2]	女の子の写真が入ったテレビ。
[1045521051_108ebc19be.jpg#3]	若い男がテレビで床に座り、ファーストフードの食事を彼の目の前に置く。
[1045521051_108ebc19be.jpg#4]	誰かが食べ物を食べているテレビの前に横たわっています。
[1048710776_bb5b0a5c7c.jpg#0]	ビーチを見下ろす棚に座っている数人のカップル
[1048710776_bb5b0a5c7c.jpg#1]	人々のグループは、ビーチの壁に座っています。
[1048710776_bb5b0a5c7c.jpg#2]	10代のグループはビーチで壁に座っています。
[1048710776_bb5b0a5c7c.jpg#3]	ビーチで人々の群衆。
[1048710776_bb5b0a5c7c.jpg#4]	混雑したビーチの上のレールに座っている若者たち。
[1052358063_eae6744153.jpg#0]	男の子はスケートボードにジャンプし、スケートボードを持った男の子は腕を振る。
[1052358063_eae6744153.jpg#1]	スケートボードを持った別の子供が壁に腰掛けている間、子供はスケートボードトリックを実行しています。
[1052358063_eae6744153.jpg#2]	小さな男の子スケートボーダーは、若いスケートボーダーが見守っている間、彼のボードでトリックをしています。
[1052358063_eae6744153.jpg#3]	スケートボード上のプラットフォームでジャンプしている若い少年スケートボーダー。
[1052358063_eae6744153.jpg#4]	2人のスケートボーダー。
[105342180_4d4a40b47f.jpg#0]	彼女の後ろから見た、大きな川を漕ぐ少女。
[105342180_4d4a40b47f.jpg#1]	川を下っている女性。
[105342180_4d4a40b47f.jpg#2]	女性が川の下でボートを漕ぐ。
[105342180_4d4a40b47f.jpg#3]	パドルを持つ女性。
[105342180_4d4a40b47f.jpg#4]	パドルを持つ女性が水上のボートに座っています。
[1053804096_ad278b25f1.jpg#0]	浅い水の中で、ピグテールの女の子が飛び散る。
[1053804096_ad278b25f1.jpg#1]	女の子たちはサーフィンをしています。
[1053804096_ad278b25f1.jpg#2]	ビーチでは、ピグテールの女の子が海で遊んでいます。
[1053804096_ad278b25f1.jpg#3]	水の中に抱かれた女の子がいる。
[1053804096_ad278b25f1.jpg#4]	ピゲの女の子が水中で遊んでいます。
[1055623002_8195a43714.jpg#0]	パジャマを着た4人の子供のグループが枕の戦いをしている。
[1055623002_8195a43714.jpg#1]	子供のグループは枕の戦いがあります。
[1055623002_8195a43714.jpg#2]	ベッドで枕の戦いの若い子供のグループが戦う。
[1055623002_8195a43714.jpg#3]	子供たちは枕の戦いをしています。
[1055623002_8195a43714.jpg#4]	4人の子供が枕の戦いをしています。
[1055753357_4fa3d8d693.jpg#0]	2つの工事作業員が休憩を取りながら梁に座っています。
[1055753357_4fa3d8d693.jpg#1]	2人の建設労働者が建物の横に座っている。
[1055753357_4fa3d8d693.jpg#2]	Iビームに座っている2人の建設労働者。
[1055753357_4fa3d8d693.jpg#3]	2人の建設労働者が鉄骨に座ります。
[1055753357_4fa3d8d693.jpg#4]	2人の男性が建設を中断する。
[1056249424_ef2a2e041c.jpg#0]	子供たちは水中で遊んでいます。
[1056249424_ef2a2e041c.jpg#1]	2人の男の子、1人は黄色とオレンジ色の球があり、フィールドの前で水中で遊ぶ。
[1056249424_ef2a2e041c.jpg#2]	2人の男の子が水たまりの中で遊ぶ。
[1056249424_ef2a2e041c.jpg#3]	晴れた日に2人の子供が泥の風船で遊んでいます。
[1056249424_ef2a2e041c.jpg#4]	2人の子供が走っていて、ある水で遊んでいます。
[1056338697_4f7d7ce270.jpg#0]	青いシャツのブロンドの女性が乗るのを待っているようだ。
[1056338697_4f7d7ce270.jpg#1]	金髪の女がタクシーを呼んでいる。
[1056338697_4f7d7ce270.jpg#2]	女性は、後ろから見て、交通信号に信号を送ります。
[1056338697_4f7d7ce270.jpg#3]	青いチューブの上を着た金髪の女性が路傍に手を振っています。
[1056338697_4f7d7ce270.jpg#4]	青いドレスの女性は、近づいてくる交通で彼女の腕を抱きしめています。
[1056359656_662cee0814.jpg#0]	列車の乗り物のパンフレットを見ている少女
[1056359656_662cee0814.jpg#1]	彼女の手の中に魔術師を持つ若いブロンドの女の子
[1056359656_662cee0814.jpg#2]	列車に乗っている若い女の子は列車の乗り物についての本を読んでいます。
[1056359656_662cee0814.jpg#3]	若い女の子が席に座り、電車のパンフレットを見ます。
[1056359656_662cee0814.jpg#4]	列車の乗り物のパンフレットを見ながら座っている子供
[1056873310_49c665eb22.jpg#0]	岩場の黒い犬の後ろには、茶色の犬が走っています。
[1056873310_49c665eb22.jpg#1]	黒い犬の後ろには茶色の犬が走っています。
[1056873310_49c665eb22.jpg#2]	ビーチで遊ぶ2匹の犬。
[1056873310_49c665eb22.jpg#3]	2匹の犬が水の近くの石を横切って走っています。
[1056873310_49c665eb22.jpg#4]	2匹の犬は、背景に水が入った岩場でお互いに向かって走ります。
[1057089366_ca83da0877.jpg#0]	男の子はハイダイビングボードの最後から降ります。
[1057089366_ca83da0877.jpg#1]	子供は高いダイビングボードからプールに飛びます。
[1057089366_ca83da0877.jpg#2]	子供がダイビングボードから下のスイミングプールに飛び乗ります。
[1057089366_ca83da0877.jpg#3]	小さな子供がプールで高いダイブを飛び跳ねています。
[1057089366_ca83da0877.jpg#4]	その少年は高いダイビングボードからプールに飛び降りています。
[1057210460_09c6f4c6c1.jpg#0]	一人の男が窓から出て立っている。
[1057210460_09c6f4c6c1.jpg#1]	タンクトップの男性がクロームドアの横に立っています。
[1057210460_09c6f4c6c1.jpg#2]	男はエレベーターの近くに彼のシャツを置く。
[1057210460_09c6f4c6c1.jpg#3]	男はエレベーターで頭を下にして立っている。
[1057210460_09c6f4c6c1.jpg#4]	男はエレベーターの近くにシャツを着ている。
[1057251835_6ded4ada9c.jpg#0]	明るい色の犬がビーチで走ります。
[1057251835_6ded4ada9c.jpg#1]	小さな黄色い犬がビーチで走る
[1057251835_6ded4ada9c.jpg#2]	ヤンゴンの犬は砂浜で走っています。
[1057251835_6ded4ada9c.jpg#3]	白い犬が岩場のビーチを走っています。
[1057251835_6ded4ada9c.jpg#4]	ビーチに沿って走っている明るい茶色の犬。
[106490881_5a2dd9b7bd.jpg#0]	彼の青い泳ぎの少年はビーチで短絡している。
[106490881_5a2dd9b7bd.jpg#1]	ビーチでカメラのために少年が微笑む。
[106490881_5a2dd9b7bd.jpg#2]	水泳のトランクの若い少年は、ビーチで腕を伸ばして歩いています。
[106490881_5a2dd9b7bd.jpg#3]	ビーチで遊んでいる子供たち。
[106490881_5a2dd9b7bd.jpg#4]	その少年は海の海岸で遊んでいる。
[106514190_bae200f463.jpg#0]	下の山々を見下ろす崖の上に立っているハイカー。
[106514190_bae200f463.jpg#1]	雪の上の丘から見えるスキーの人物
[106514190_bae200f463.jpg#2]	スキーヤーは雪で覆われた山を見下ろしています。
[106514190_bae200f463.jpg#3]	スキーヤーは、美しい白い雪の風景を見下ろしています。
[106514190_bae200f463.jpg#4]	スキーヤーは山頂で一時停止する。
[1067180831_a59dc64344.jpg#0]	黒と白の犬は、低カットヤードで黄色と紫のオブジェクトをキャッチしようとしています。
[1067180831_a59dc64344.jpg#1]	黒と白の犬は、黄色のおもちゃの後にジャンプします。
[1067180831_a59dc64344.jpg#2]	黒と白の犬がフリスビーを得るために飛びます。
[1067180831_a59dc64344.jpg#3]	黒い犬は、紫色と緑色のおもちゃをキャッチするために飛び跳ねています。
[1067180831_a59dc64344.jpg#4]	犬はジャンプしておもちゃを捕まえる。
[1067675215_7336a694d6.jpg#0]	青いショーツの男が通りに横たわっています。
[1067675215_7336a694d6.jpg#1]	青いショートパンツの男は、駐車場の外に横たわります。
[1067675215_7336a694d6.jpg#2]	交通量の多い道路の真ん中に横たわっている男。
[1067675215_7336a694d6.jpg#3]	男性は茶色のSUVとドアが開いた黄色のピックアップの間の駐車場にマットの上に横たわっています。
[1067675215_7336a694d6.jpg#4]	忙しい街の真ん中にシャツがない男が寝そべっている。
[1067790824_f3cc97239b.jpg#0]	白と黒の犬と砂地の茶色の犬。
[1067790824_f3cc97239b.jpg#1]	ウールの犬はビーチでドーベルマンを追いかける。
[1067790824_f3cc97239b.jpg#2]	1匹の犬がビーチで別のものを追いかけています。
[1067790824_f3cc97239b.jpg#3]	2頭の大型犬は砂の中を走っています。
[1067790824_f3cc97239b.jpg#4]	ビーチでお互いを追いかける2つの大きな犬。
[1072153132_53d2bb1b60.jpg#0]	黒と白の犬は空中でおもちゃをキャッチします。
[1072153132_53d2bb1b60.jpg#1]	犬とテニスボール。
[1072153132_53d2bb1b60.jpg#2]	犬はそれに投げ込まれた物体をつかまえるために飛び降りている。
[1072153132_53d2bb1b60.jpg#3]	芝生の畑でテニスボールを追いかけながら犬が飛び跳ねる。
[1072153132_53d2bb1b60.jpg#4]	芝生のフィールドでテニスボールをキャッチするためにジャンプする多色の犬。
[107318069_e9f2ef32de.jpg#0]	夜に気球を見ている群衆。
[107318069_e9f2ef32de.jpg#1]	夜間に熱気球のグループが点灯した。
[107318069_e9f2ef32de.jpg#2]	人々は公園で熱気球を見ている。
[107318069_e9f2ef32de.jpg#3]	熱気球を見ている人。
[107318069_e9f2ef32de.jpg#4]	群衆の近くで夜間に7つの大きな風船が並んでいます。
[1075716537_62105738b4.jpg#0]	頭にヘルメットが付いている子供は自転車に乗る。
[1075716537_62105738b4.jpg#1]	小さな男の子が小さな自転車に乗って坂を下って自転車に乗る。
[1075716537_62105738b4.jpg#2]	ヘルメットの若い男の子が自転車に乗る。
[1075716537_62105738b4.jpg#3]	小さな男の子は自転車に乗ってレースをします。
[1075716537_62105738b4.jpg#4]	若い男の子はBMXレースですぐにペダルを踏む。
[107582366_d86f2d3347.jpg#0]	8人のグループが夜のテーブルの周りに集まっています。
[107582366_d86f2d3347.jpg#1]	暗闇の中に集まった人々のグループ。
[107582366_d86f2d3347.jpg#2]	一群の人々は、夜はポーチの外にテーブルの周りに座る。
[107582366_d86f2d3347.jpg#3]	人々のグループは夜に屋外で一緒に座っています。
[107582366_d86f2d3347.jpg#4]	暗い部屋のテーブルに座る人々のグループ。
[1075867198_27ca2e7efe.jpg#0]	茶色のシャツと黒い服を着た男が、2匹の黒い犬と一緒に浜辺で遊ぶ。
[1075867198_27ca2e7efe.jpg#1]	2つの黒い犬との短絡の男は、ビーチでおもちゃを投げるボールを保持しています。
[1075867198_27ca2e7efe.jpg#2]	ビーチで2匹の黒い犬と遊んでいる男
[1075867198_27ca2e7efe.jpg#3]	ビーチに2匹の犬を持つ男
[1075867198_27ca2e7efe.jpg#4]	2匹の犬がいるビーチの男性。
[1075881101_d55c46bece.jpg#0]	少年は彼の顔の泡をきれいにする。
[1075881101_d55c46bece.jpg#1]	泡で覆われた少年は、彼の顔がきれいに拭かれています。
[1075881101_d55c46bece.jpg#2]	少年は泡で覆われている。
[1075881101_d55c46bece.jpg#3]	泡で覆われた子供は、黒い膨張式ランプに登っています。
[1075881101_d55c46bece.jpg#4]	石鹸水で覆われた人がきれいになっています。
[1077546505_a4f6c4daa9.jpg#0]	青いショーツの少年は、スライドをプールに滑り込ませます。
[1077546505_a4f6c4daa9.jpg#1]	青い水泳のトランクの少年は、黄色の滑り台を水中に浮かぶ膨らませるおもちゃで泳ぐプールに滑り込ませます。
[1077546505_a4f6c4daa9.jpg#2]	少年はスライドを小さな裏庭プールに乗っています。
[1077546505_a4f6c4daa9.jpg#3]	カラフルなチューブでプールに滑り落ちる少年。
[1077546505_a4f6c4daa9.jpg#4]	子供が水のプールに浮かぶ色の風船にスライドから落ちています。
[1077931201_1e0bb83105.jpg#0]	ウェットスーツの男性がウェットスーツを着て赤ちゃんを放り出して空気中に浮かべています。
[1077931201_1e0bb83105.jpg#1]	ウェットスーツの男が幼児を空中に投げつけ、彼を捕まえる準備ができています。
[1077931201_1e0bb83105.jpg#2]	少年を空気の中に投げつけ、彼が降りてくるのを待っている男。彼は彼を捕まえることができる。
[1077931201_1e0bb83105.jpg#3]	男はプールにいて、小さな男の子を空中に投げ込んでいます。
[1077931201_1e0bb83105.jpg#4]	水滴が飛んでいる間、男は男の子を空中に投げつける。
[1079274291_9aaf896cc1.jpg#0]	小さな男の子がカメラのために舌を刺す。
[1079274291_9aaf896cc1.jpg#1]	2人の男の子が顔をする。
